"","stat","locus","effect","df","Fvalue","pvalue"
"1","lme4QTL, binomial probit","CM084264_1_39013.1","generation",2,1.82552128301933,0.16310950783551
"2","lme4QTL, binomial probit","CM084264_1_39013.1","treatment",1,2.27982703923765e-05,0.996193825322771
"3","lme4QTL, binomial probit","CM084264_1_39013.1","generation * treatment",2,2.89344925532814,0.0570978421186002
"4","lme4QTL, binomial probit","CM084264_1_63760.1","generation",2,0.399330781117053,0.671162830749049
"5","lme4QTL, binomial probit","CM084264_1_63760.1","treatment",1,1.03406948803159,0.310111760881855
"6","lme4QTL, binomial probit","CM084264_1_63760.1","generation * treatment",2,1.88600234477261,0.153662382834303
"7","lme4QTL, binomial probit","CM084264_1_65408.1","generation",2,0.111689572533035,0.894362981869994
"8","lme4QTL, binomial probit","CM084264_1_65408.1","treatment",1,1.77257078685362,0.184183096180988
"9","lme4QTL, binomial probit","CM084264_1_65408.1","generation * treatment",2,2.7958123081586,0.0628276757491711
"10","lme4QTL, binomial probit","CM084264_1_65418.1","generation",2,1.6278266959832,0.198269834455156
"11","lme4QTL, binomial probit","CM084264_1_65418.1","treatment",1,2.83472943120594,0.0933978165267957
"12","lme4QTL, binomial probit","CM084264_1_65418.1","generation * treatment",2,0.0048237593595687,0.995187941730072
"13","lme4QTL, binomial probit","CM084264_1_65424.1","generation",2,1.02422931593055,0.360458770713086
"14","lme4QTL, binomial probit","CM084264_1_65424.1","treatment",1,0.0240667550831391,0.876830660404843
"15","lme4QTL, binomial probit","CM084264_1_65424.1","generation * treatment",2,0.0935680979199471,0.910705407621433
"16","lme4QTL, binomial probit","CM084264_1_2738036.1","generation",2,5.18027813044967,0.00619688485241286
"17","lme4QTL, binomial probit","CM084264_1_2738036.1","treatment",1,0.301847106480539,0.583179198821911
"18","lme4QTL, binomial probit","CM084264_1_2738036.1","generation * treatment",2,1.95681470265437,0.143299322415934
"19","lme4QTL, binomial probit","CM084264_1_2738113.1","generation",2,0.737208109375147,0.47940481749104
"20","lme4QTL, binomial probit","CM084264_1_2738113.1","treatment",1,0.227914278911035,0.633459485717149
"21","lme4QTL, binomial probit","CM084264_1_2738113.1","generation * treatment",2,4.1981289084388,0.0160121500808416
"22","lme4QTL, binomial probit","CM084264_1_2738116.1","generation",2,2.40330534836373,0.0923434167812885
"23","lme4QTL, binomial probit","CM084264_1_2738116.1","treatment",1,3.14879526989737,0.0771056734538325
"24","lme4QTL, binomial probit","CM084264_1_2738116.1","generation * treatment",2,3.73759651140124,0.0250476112661552
"25","lme4QTL, binomial probit","CM084264_1_2740137.1","generation",2,2.34585072002434,0.0977076172376875
"26","lme4QTL, binomial probit","CM084264_1_2740137.1","treatment",1,0.649127171895854,0.42113128407825
"27","lme4QTL, binomial probit","CM084264_1_2740137.1","generation * treatment",2,0.452320621162343,0.63662955563997
"28","lme4QTL, binomial probit","CM084264_1_2740163.1","generation",2,1.45817143559516,0.234480867693869
"29","lme4QTL, binomial probit","CM084264_1_2740163.1","treatment",1,1.65818701394599,0.19894683376137
