"","stat","locus","effect","df","Fvalue","pvalue"
"1","lme4QTL, binomial probit","CM084264_1_65422.1","generation",2,0.442719113870471,0.642751282582339
"2","lme4QTL, binomial probit","CM084264_1_65422.1","treatment",1,1.11110053883739,0.292781720235531
"3","lme4QTL, binomial probit","CM084264_1_65422.1","generation * treatment",2,0.0385449126484995,0.962193763381026
"4","lme4QTL, binomial probit","CM084264_1_2737867.1","generation",2,1.01772204149547,0.362794367430157
"5","lme4QTL, binomial probit","CM084264_1_2737867.1","treatment",1,0.553020206193509,0.457730506375068
"6","lme4QTL, binomial probit","CM084264_1_2737867.1","generation * treatment",2,0.94608500928994,0.389536605720939
"7","lme4QTL, binomial probit","CM084264_1_2737868.1","generation",2,0.654722443896699,0.520406134610355
"8","lme4QTL, binomial probit","CM084264_1_2737868.1","treatment",1,0.0438147686646242,0.834355876157755
"9","lme4QTL, binomial probit","CM084264_1_2737868.1","generation * treatment",2,1.95516352976553,0.143532757327263
"10","lme4QTL, binomial probit","CM084264_1_2740173.1","generation",2,0.730970167157653,0.482388449061841
"11","lme4QTL, binomial probit","CM084264_1_2740173.1","treatment",1,0.00680221978333882,0.934329427487336
"12","lme4QTL, binomial probit","CM084264_1_2740173.1","generation * treatment",2,1.75957824198947,0.174078067852164
"13","lme4QTL, binomial probit","CM084264_1_5215232.1","generation",2,0.503551916405761,0.604944497041911
"14","lme4QTL, binomial probit","CM084264_1_5215232.1","treatment",1,1.63426953574671,0.202207307729276
"15","lme4QTL, binomial probit","CM084264_1_5215232.1","generation * treatment",2,1.49173518242994,0.226823382967145
"16","lme4QTL, binomial probit","CM084264_1_6517652.1","generation",2,1.60621413808454,0.202549962467046
"17","lme4QTL, binomial probit","CM084264_1_6517652.1","treatment",1,4.4905279235448,0.0349927063142504
"18","lme4QTL, binomial probit","CM084264_1_6517652.1","generation * treatment",2,0.244600490986276,0.783189978350534
"19","lme4QTL, binomial probit","CM084264_1_6956700.1","generation",2,0.00940565544162237,0.990638762753503
"20","lme4QTL, binomial probit","CM084264_1_6956700.1","treatment",1,3.38461654822197,0.0669011336466557
"21","lme4QTL, binomial probit","CM084264_1_6956700.1","generation * treatment",2,1.30564311317708,0.272697321445559
"22","lme4QTL, binomial probit","CM084264_1_7131437.1","generation",2,2.97006555229979,0.052972485286303
"23","lme4QTL, binomial probit","CM084264_1_7131437.1","treatment",1,0.00577051975160608,0.939503837474315
"24","lme4QTL, binomial probit","CM084264_1_7131437.1","generation * treatment",2,1.32886709487806,0.266496759100198
"25","lme4QTL, binomial probit","CM084264_1_8098032.1","generation",2,0.0271844087952453,0.973184415125698
"26","lme4QTL, binomial probit","CM084264_1_8098032.1","treatment",1,1.08292872794021,0.298970813045327
"27","lme4QTL, binomial probit","CM084264_1_8098032.1","generation * treatment",2,1.4444984545194,0.237674497319099
"28","lme4QTL, binomial probit","CM084264_1_8112674.1","generation",2,8.50652490975319,0.000261210372878054
"29","lme4QTL, binomial probit","CM084264_1_8112674.1","treatment",1,0.329599082934934,0.5663714542097
"30","lme4QTL, binomial probit","CM084264_1_8112674.1","generation * treatment",2,1.07462150667128,0.342877305001247
"31","lme4QTL, binomial probit","CM084264_1_8233152.1","generation",2,0.0571975963768391,0.944418837372919
"32","lme4QTL, binomial probit","CM084264_1_8233152.1","treatment",1,0.00588111239313864,0.938928009885915
"33","lme4QTL, binomial probit","CM084264_1_8233152.1","generation * treatment",2,0.968489183114663,0.380966269629647
