"","chromosome","chrom_num","position","locus","effect","df","Fvalue","pvalue","rank","adj_bonferroni","sig_boolean"
"1","CM084278",15,20591212,"CM084278_1_20591212.1","generation",2,30.9804064811866,7.63960163909523e-13,1,0.05,TRUE
"2","CM084268",5,3695260,"CM084268_1_3695260.1","generation",2,18.9499796595286,1.9816186846235e-08,2,0.025,TRUE
"3","CM084269",6,1549405,"CM084269_1_1549405.1","generation",2,16.2799282253132,2.10489777220379e-07,3,0.0166666666666667,TRUE
"4","CM084270",7,39395894,"CM084270_1_39395894.1","generation",2,13.9674268717828,1.68545003502138e-06,4,0.0125,TRUE
"5","CM084278",15,4074392,"CM084278_1_4074392.1","generation",2,13.143801926874,3.56354652346168e-06,5,0.01,TRUE
"6","CM084265",2,71265331,"CM084265_1_71265331.1","generation",2,12.9858198769287,4.11584995278899e-06,6,0.00833333333333333,TRUE
"7","CM084267",4,13261420,"CM084267_1_13261420.1","generation",2,11.2698018791651,1.98838541318946e-05,7,0.00714285714285714,TRUE
"8","CM084278",15,22654720,"CM084278_1_22654720.1","generation",2,11.0304003033606,2.48065441550362e-05,9,0.00555555555555556,TRUE
"9","CM084270",7,26884058,"CM084270_1_26884058.1","generation",2,10.9423294306276,2.69120225834398e-05,10,0.005,TRUE
"10","CM084271",8,37237146,"CM084271_1_37237146.1","generation",2,10.2888121118641,4.93339354854649e-05,14,0.00357142857142857,TRUE
"11","CM084266",3,68643487,"CM084266_1_68643487.1","generation",2,10.1903289959968,5.4064401070658e-05,15,0.00333333333333333,TRUE
"12","CM084265",2,65268038,"CM084265_1_65268038.1","generation",2,10.0891233321519,5.94024503542846e-05,16,0.003125,TRUE
"13","CM084266",3,63167162,"CM084266_1_63167162.1","generation",2,9.83993772210008,7.49222994924316e-05,18,0.00277777777777778,TRUE
"14","CM084264",1,74989689,"CM084264_1_74989689.1","generation",2,9.81966454271884,7.6351945606713e-05,19,0.00263157894736842,TRUE
"15","CM084275",12,29098655,"CM084275_1_29098655.1","generation",2,9.78913541980604,7.85568595092042e-05,20,0.0025,TRUE
"16","CM084265",2,785374,"CM084265_1_785374.1","generation",2,9.71511286378584,8.41731025769311e-05,21,0.00238095238095238,TRUE
"17","CM084266",3,69314168,"CM084266_1_69314168.1","generation",2,9.58686834612654,9.48781140757224e-05,22,0.00227272727272727,TRUE
"18","CM084268",5,3710137,"CM084268_1_3710137.1","generation",2,9.35777585068228,0.000117532743423581,23,0.00217391304347826,TRUE
"19","CM084276",13,25975836,"CM084276_1_25975836.1","generation",2,9.28098415691607,0.000126288248166972,24,0.00208333333333333,TRUE
"20","CM084276",13,38072623,"CM084276_1_38072623.1","generation",2,9.26644620274212,0.000128018358574551,25,0.002,TRUE
"21","CM084264",1,64269859,"CM084264_1_64269859.1","generation",2,9.17250281955005,0.000139788745868704,26,0.00192307692307692,TRUE
"22","CM084279",16,160989,"CM084279_1_160989.1","generation",2,8.87932986208664,0.000184011116568241,28,0.00178571428571429,TRUE
"23","CM084264",1,70173615,"CM084264_1_70173615.1","generation",2,8.6253933638621,0.000233580179544961,34,0.00147058823529412,TRUE
"24","CM084264",1,34294397,"CM084264_1_34294397.1","generation",2,8.59980537971501,0.000239267977689467,35,0.00142857142857143,TRUE
"25","CM084264",1,8112674,"CM084264_1_8112674.1","generation",2,8.50652490975319,0.000261210372878054,37,0.00135135135135135,TRUE
"26","CM084272",9,1891499,"CM084272_1_1891499.1","generation",2,8.45040082375151,0.000275378142126119,38,0.00131578947368421,TRUE
"27","CM084265",2,68074259,"CM084265_1_68074259.1","generation",2,8.36960137932641,0.000297145761565184,39,0.00128205128205128,TRUE
"28","CM084268",5,1326636,"CM084268_1_1326636.1","generation",2,8.33397636507609,0.000307286176717903,40,0.00125,TRUE
"29","CM084276",13,38117387,"CM084276_1_38117387.1","generation",2,8.2579704378115,0.000330101581322817,41,0.00121951219512195,TRUE
"30","CM084271",8,44190489,"CM084271_1_44190489.1","generation",2,8.23381156409769,0.000337705240245324,42,0.00119047619047619,TRUE
"31","CM084267",4,591197,"CM084267_1_591197.1","generation",2,8.22928027114748,0.000339150929906368,43,0.00116279069767442,TRUE
"32","CM084264",1,34300890,"CM084264_1_34300890.1","generation",2,8.16894050139006,0.000359007099520553,45,0.00111111111111111,TRUE
"33","CM084265",2,66141850,"CM084265_1_66141850.1","generation",2,8.0249009187421,0.000411274089770973,49,0.00102040816326531,TRUE
"34","CM084272",9,33617991,"CM084272_1_33617991.1","generation",2,7.75777968338621,0.0005293662545785,55,0.000909090909090909,TRUE
"35","CM084264",1,70466152,"CM084264_1_70466152.1","generation",2,7.74382174864548,0.000536401669932339,56,0.000892857142857143,TRUE
"36","CM084264",1,75338719,"CM084264_1_75338719.1","generation",2,7.66201918486647,0.00057956953699501,59,0.000847457627118644,TRUE
"37","CM084268",5,2720940,"CM084268_1_2720940.1","generation",2,7.66068122512955,0.000580303944522126,60,0.000833333333333333,TRUE
"38","CM084271",8,44086137,"CM084271_1_44086137.1","generation",2,7.65488092208995,0.000583498594155965,61,0.000819672131147541,TRUE
"39","CM084272",9,36474234,"CM084272_1_36474234.1","generation",2,7.57251674588717,0.00063082243333621,63,0.000793650793650794,TRUE
"40","CM084275",12,672856,"CM084275_1_672856.1","generation",2,7.56355525236006,0.000636199290926602,64,0.00078125,TRUE
"41","CM084270",7,42355504,"CM084270_1_42355504.1","generation",2,7.41259522090853,0.00073404207851453,67,0.000746268656716418,TRUE
