"","chromosome","chrom_num","position","locus","effect","df","Fvalue","pvalue","rank","adj_bonferroni","sig_boolean"
"1","CM084269",6,1549405,"CM084269_1_1549405.1","generation",2,16.2799282253132,2.10489777220379e-07,1,0.05,TRUE
"2","CM084270",7,39395894,"CM084270_1_39395894.1","generation",2,13.9674268717828,1.68545003502138e-06,2,0.025,TRUE
"3","CM084270",7,26884058,"CM084270_1_26884058.1","generation",2,10.9423294306276,2.69120225834398e-05,3,0.0166666666666667,TRUE
"4","CM084271",8,37237146,"CM084271_1_37237146.1","generation",2,10.2888121118641,4.93339354854649e-05,6,0.00833333333333333,TRUE
"5","CM084264",1,74989689,"CM084264_1_74989689.1","generation",2,9.81966454271884,7.6351945606713e-05,8,0.00625,TRUE
"6","CM084276",13,25975836,"CM084276_1_25975836.1","generation",2,9.28098415691607,0.000126288248166972,9,0.00555555555555556,TRUE
"7","CM084264",1,64269859,"CM084264_1_64269859.1","generation",2,9.17250281955005,0.000139788745868704,10,0.005,TRUE
"8","CM084279",16,160989,"CM084279_1_160989.1","generation",2,8.87932986208664,0.000184011116568241,12,0.00416666666666667,TRUE
"9","CM084264",1,34294397,"CM084264_1_34294397.1","generation",2,8.59980537971501,0.000239267977689467,15,0.00333333333333333,TRUE
"10","CM084265",2,68074259,"CM084265_1_68074259.1","generation",2,8.36960137932641,0.000297145761565184,16,0.003125,TRUE
"11","CM084268",5,1326636,"CM084268_1_1326636.1","generation",2,8.33397636507609,0.000307286176717903,17,0.00294117647058824,TRUE
"12","CM084276",13,38117387,"CM084276_1_38117387.1","generation",2,8.2579704378115,0.000330101581322817,18,0.00277777777777778,TRUE
"13","CM084271",8,44190489,"CM084271_1_44190489.1","generation",2,8.23381156409769,0.000337705240245324,19,0.00263157894736842,TRUE
"14","CM084264",1,34300890,"CM084264_1_34300890.1","generation",2,8.16894050139006,0.000359007099520553,20,0.0025,TRUE
"15","CM084265",2,66141850,"CM084265_1_66141850.1","generation",2,8.0249009187421,0.000411274089770973,23,0.00217391304347826,TRUE
"16","CM084272",9,33617991,"CM084272_1_33617991.1","generation",2,7.75777968338621,0.0005293662545785,26,0.00192307692307692,TRUE
"17","CM084272",9,36474234,"CM084272_1_36474234.1","generation",2,7.57251674588717,0.00063082243333621,27,0.00185185185185185,TRUE
"18","CM084275",12,672856,"CM084275_1_672856.1","generation",2,7.56355525236006,0.000636199290926602,28,0.00178571428571429,TRUE
"19","CM084270",7,42355504,"CM084270_1_42355504.1","generation",2,7.41259522090853,0.00073404207851453,30,0.00166666666666667,TRUE
"20","CM084266",3,66483880,"CM084266_1_66483880.1","generation",2,7.19817209454192,0.000899663174358223,34,0.00147058823529412,TRUE
"21","CM084267",4,52112064,"CM084267_1_52112064.1","generation",2,7.18186694757694,0.000913701551558008,35,0.00142857142857143,TRUE
"22","CM084276",13,6150174,"CM084276_1_6150174.1","generation",2,7.17464469323633,0.000919990077929256,36,0.00138888888888889,TRUE
"23","CM084268",5,50323846,"CM084268_1_50323846.1","generation",2,7.14475365100434,0.000946483727300823,37,0.00135135135135135,TRUE
"24","CM084276",13,38539342,"CM084276_1_38539342.1","generation",2,7.10701937936103,0.000981029732052404,38,0.00131578947368421,TRUE
"25","CM084276",13,36515301,"CM084276_1_36515301.1","generation",2,6.90293472322062,0.00119112732252181,41,0.00121951219512195,TRUE
