"","chromosome","chrom_num","position","locus","effect","df","Fvalue","pvalue","rank","adj_bonferroni","sig_boolean"
"1","CM084270",7,39395894,"CM084270_1_39395894.1","generation",2,16.8679626310567,1.24647481172239e-07,1,0.05,TRUE
"2","CM084264",1,64269859,"CM084264_1_64269859.1","generation",2,13.9857980189837,1.65761402451121e-06,2,0.025,TRUE
"3","CM084265",2,66141850,"CM084265_1_66141850.1","generation",2,12.6923367588408,5.38128368732525e-06,3,0.0166666666666667,TRUE
"4","CM084275",12,672856,"CM084275_1_672856.1","generation",2,12.0759117959149,9.46624223330649e-06,4,0.0125,TRUE
"5","CM084270",7,26884058,"CM084270_1_26884058.1","generation",2,11.5700499279399,1.50743987979505e-05,5,0.01,TRUE
"6","CM084272",9,33617991,"CM084272_1_33617991.1","generation",2,11.3391427802702,1.86511284081137e-05,6,0.00833333333333333,TRUE
"7","CM084265",2,68074259,"CM084265_1_68074259.1","generation",2,10.7917824648529,3.09366853137797e-05,7,0.00714285714285714,TRUE
"8","CM084273",10,42287132,"CM084273_1_42287132.1","generation",2,10.3854371159396,4.50979183492049e-05,10,0.005,TRUE
"9","CM084276",13,38539342,"CM084276_1_38539342.1","generation",2,10.3746384728147,4.55525388111912e-05,11,0.00454545454545455,TRUE
"10","CM084269",6,1577748,"CM084269_1_1577748.1","generation",2,10.0655607083336,6.07196287468251e-05,12,0.00416666666666667,TRUE
"11","CM084268",5,49720512,"CM084268_1_49720512.1","generation",2,9.10132471609468,0.000149427901236175,17,0.00294117647058824,TRUE
"12","CM084264",1,34294397,"CM084264_1_34294397.1","generation",2,8.80292717757921,0.000197693740803119,18,0.00277777777777778,TRUE
"13","CM084278",15,22665046,"CM084278_1_22665046.1","generation",2,8.66179737286979,0.000225722047257315,20,0.0025,TRUE
"14","CM084271",8,37237146,"CM084271_1_37237146.1","generation",2,8.35775882536523,0.000300478700599943,24,0.00208333333333333,TRUE
"15","CM084279",16,160989,"CM084279_1_160989.1","generation",2,8.28350913441319,0.000322251051368687,26,0.00192307692307692,TRUE
"16","CM084265",2,66689301,"CM084265_1_66689301.1","generation",2,8.24869328147888,0.000333000820797406,27,0.00185185185185185,TRUE
"17","CM084275",12,1212337,"CM084275_1_1212337.1","generation",2,8.12239047115217,0.000375122447049848,29,0.00172413793103448,TRUE
"18","CM084276",13,25975836,"CM084276_1_25975836.1","generation",2,7.71745372420527,0.000549950414358692,35,0.00142857142857143,TRUE
"19","CM084272",9,18188792,"CM084272_1_18188792.1","generation",2,7.66616289750913,0.000577300983485989,36,0.00138888888888889,TRUE
"20","CM084278",15,19961223,"CM084278_1_19961223.1","generation",2,7.63458499049586,0.000594817155861691,37,0.00135135135135135,TRUE
"21","CM084268",5,1326636,"CM084268_1_1326636.1","generation",2,7.63153163810675,0.000596538975194357,38,0.00131578947368421,TRUE
"22","CM084278",15,23540722,"CM084278_1_23540722.1","generation",2,7.622027994928,0.000601930387282822,39,0.00128205128205128,TRUE
"23","CM084265",2,61648709,"CM084265_1_61648709.1","generation",2,7.61434387574361,0.000606325454864193,40,0.00125,TRUE
"24","CM084267",4,52112064,"CM084267_1_52112064.1","generation",2,7.56766646097437,0.000633726875278005,42,0.00119047619047619,TRUE
"25","CM084271",8,337322,"CM084271_1_337322.1","generation",2,7.52225530129444,0.000661582039765301,45,0.00111111111111111,TRUE
"26","CM084274",11,4709677,"CM084274_1_4709677.1","generation",2,7.5139890642967,0.000666783694538233,46,0.00108695652173913,TRUE
"27","CM084264",1,69870962,"CM084264_1_69870962.1","generation",2,7.5042452355959,0.000672968078857928,47,0.00106382978723404,TRUE
"28","CM084267",4,11257220,"CM084267_1_11257220.1","generation",2,7.48220087179791,0.000687173685972881,48,0.00104166666666667,TRUE
"29","CM084265",2,39553345,"CM084265_1_39553345.1","generation",2,7.47205913272838,0.000693810206269814,49,0.00102040816326531,TRUE
"30","CM084264",1,74989689,"CM084264_1_74989689.1","generation",2,7.39416058170896,0.000746985633557845,52,0.000961538461538462,TRUE
"31","CM084268",5,50679469,"CM084268_1_50679469.1","generation",2,7.28266141513279,0.000830324664720718,54,0.000925925925925926,TRUE
