"","chromosome","chrom_num","position","locus","effect","df","Fvalue","pvalue","rank","adj_bonferroni","sig_boolean"
"1","CM084278",15,20591212,"CM084278_1_20591212.1","generation",2,41.1878752996158,2.40580323624681e-16,1,0.05,TRUE
"2","CM084268",5,3695260,"CM084268_1_3695260.1","generation",2,22.6869227219467,7.76535355721255e-10,2,0.025,TRUE
"3","CM084270",7,39395894,"CM084270_1_39395894.1","generation",2,16.8679626310567,1.24647481172239e-07,3,0.0166666666666667,TRUE
"4","CM084269",6,1549405,"CM084269_1_1549405.1","generation",2,16.0955044670425,2.48186292874423e-07,4,0.0125,TRUE
"5","CM084266",3,63167162,"CM084266_1_63167162.1","generation",2,16.0196493498601,2.6560171859743e-07,5,0.01,TRUE
"6","CM084267",4,13261420,"CM084267_1_13261420.1","generation",2,15.9313863470545,2.87422180442276e-07,6,0.00833333333333333,TRUE
"7","CM084278",15,22654720,"CM084278_1_22654720.1","generation",2,14.1077559083824,1.48420120585668e-06,7,0.00714285714285714,TRUE
"8","CM084264",1,64269859,"CM084264_1_64269859.1","generation",2,13.9857980189837,1.65761402451121e-06,8,0.00625,TRUE
"9","CM084265",2,66141850,"CM084265_1_66141850.1","generation",2,12.6923367588408,5.38128368732525e-06,9,0.00555555555555556,TRUE
"10","CM084265",2,785374,"CM084265_1_785374.1","generation",2,12.2002251195609,8.44554526196961e-06,10,0.005,TRUE
"11","CM084267",4,591197,"CM084267_1_591197.1","generation",2,12.114744957266,9.13470785411168e-06,11,0.00454545454545455,TRUE
"12","CM084275",12,672856,"CM084275_1_672856.1","generation",2,12.0759117959149,9.46624223330649e-06,12,0.00416666666666667,TRUE
"13","CM084270",7,26884058,"CM084270_1_26884058.1","generation",2,11.5700499279399,1.50743987979505e-05,13,0.00384615384615385,TRUE
"14","CM084272",9,33617991,"CM084272_1_33617991.1","generation",2,11.3391427802702,1.86511284081137e-05,14,0.00357142857142857,TRUE
"15","CM084264",1,70173615,"CM084264_1_70173615.1","generation",2,11.334765813598,1.87266132307503e-05,15,0.00333333333333333,TRUE
"16","CM084268",5,3710137,"CM084268_1_3710137.1","generation",2,11.0924759830322,2.34229627588492e-05,17,0.00294117647058824,TRUE
"17","CM084265",2,68074259,"CM084265_1_68074259.1","generation",2,10.7917824648529,3.09366853137797e-05,19,0.00263157894736842,TRUE
"18","CM084267",4,5168533,"CM084267_1_5168533.1","generation",2,10.5233326811156,3.9678824764308e-05,24,0.00208333333333333,TRUE
"19","CM084276",13,2874158,"CM084276_1_2874158.1","generation",2,10.4880139211383,4.10009444908209e-05,26,0.00192307692307692,TRUE
"20","CM084273",10,42287132,"CM084273_1_42287132.1","generation",2,10.3854371159396,4.50979183492049e-05,28,0.00178571428571429,TRUE
"21","CM084276",13,38539342,"CM084276_1_38539342.1","generation",2,10.3746384728147,4.55525388111912e-05,29,0.00172413793103448,TRUE
"22","CM084269",6,1577748,"CM084269_1_1577748.1","generation",2,10.0655607083336,6.07196287468251e-05,30,0.00166666666666667,TRUE
"23","CM084266",3,68643487,"CM084266_1_68643487.1","generation",2,9.6503292065109,8.9419469935095e-05,34,0.00147058823529412,TRUE
"24","CM084272",9,1891499,"CM084272_1_1891499.1","generation",2,9.51005586593655,0.000101936392497098,37,0.00135135135135135,TRUE
"25","CM084265",2,65268038,"CM084265_1_65268038.1","generation",2,9.19986655822228,0.000136251973936994,41,0.00121951219512195,TRUE
"26","CM084266",3,70706235,"CM084266_1_70706235.1","generation",2,9.15339379819551,0.000142313302278103,42,0.00119047619047619,TRUE
"27","CM084272",9,36474234,"CM084272_1_36474234.1","generation",2,9.14685000356241,0.000143188341278026,43,0.00116279069767442,TRUE
"28","CM084268",5,49720512,"CM084268_1_49720512.1","generation",2,9.10132471609468,0.000149427901236175,44,0.00113636363636364,TRUE
"29","CM084264",1,70466152,"CM084264_1_70466152.1","generation",2,9.05003140034546,0.000156786876749725,45,0.00111111111111111,TRUE
"30","CM084264",1,34294397,"CM084264_1_34294397.1","generation",2,8.80292717757921,0.000197693740803119,46,0.00108695652173913,TRUE
"31","CM084278",15,22665046,"CM084278_1_22665046.1","generation",2,8.66179737286979,0.000225722047257315,50,0.001,TRUE
"32","CM084274",11,4861946,"CM084274_1_4861946.1","generation",2,8.37392284805921,0.00029593883413833,55,0.000909090909090909,TRUE
"33","CM084271",8,37237146,"CM084271_1_37237146.1","generation",2,8.35775882536523,0.000300478700599943,56,0.000892857142857143,TRUE
"34","CM084279",16,160989,"CM084279_1_160989.1","generation",2,8.28350913441319,0.000322251051368687,60,0.000833333333333333,TRUE
"35","CM084265",2,66689301,"CM084265_1_66689301.1","generation",2,8.24869328147888,0.000333000820797406,62,0.000806451612903226,TRUE
"36","CM084264",1,72117199,"CM084264_1_72117199.1","generation",2,8.22290486709132,0.000341195538692557,63,0.000793650793650794,TRUE
"37","CM084272",9,43469575,"CM084272_1_43469575.1","generation",2,8.2205887771703,0.000341941385812002,64,0.00078125,TRUE
"38","CM084275",12,1212337,"CM084275_1_1212337.1","generation",2,8.12239047115217,0.000375122447049848,66,0.000757575757575758,TRUE
"39","CM084265",2,71265331,"CM084265_1_71265331.1","generation",2,8.0758904979944,0.000391948253601238,67,0.000746268656716418,TRUE
"40","CM084266",3,57882486,"CM084266_1_57882486.1","generation",2,7.79653666314474,0.000510314556937237,75,0.000666666666666667,TRUE
"41","CM084266",3,69314168,"CM084266_1_69314168.1","generation",2,7.71793097908636,0.000549702147648351,76,0.000657894736842105,TRUE
"42","CM084276",13,25975836,"CM084276_1_25975836.1","generation",2,7.71745372420527,0.000549950414358692,77,0.000649350649350649,TRUE
"43","CM084264",1,64874708,"CM084264_1_64874708.1","generation",2,7.70858957567847,0.000554582107494312,78,0.000641025641025641,TRUE
"44","CM084272",9,18188792,"CM084272_1_18188792.1","generation",2,7.66616289750913,0.000577300983485989,79,0.000632911392405063,TRUE
"45","CM084278",15,19961223,"CM084278_1_19961223.1","generation",2,7.63458499049586,0.000594817155861691,80,0.000625,TRUE
"46","CM084268",5,1326636,"CM084268_1_1326636.1","generation",2,7.63153163810675,0.000596538975194357,81,0.000617283950617284,TRUE
"47","CM084278",15,23540722,"CM084278_1_23540722.1","generation",2,7.622027994928,0.000601930387282822,82,0.000609756097560976,TRUE
