"","chromosome","chrom_num","position","locus","effect","df","Fvalue","pvalue","rank","adj_bonferroni","sig_boolean"
"1","CM084265",2,70607188,"CM084265_1_70607188.1","treatment",2,11.1038946877185,2.31770508512603e-05,16,0.003125,TRUE
"2","CM084265",2,69924480,"CM084265_1_69924480.1","treatment",2,7.9700611668605,0.000433132320080264,20,0.0025,TRUE
"3","CM084278",15,20732798,"CM084278_1_20732798.1","treatment",2,10.6394971797036,3.56257090449751e-05,21,0.00238095238095238,TRUE
"4","CM084271",8,44090307,"CM084271_1_44090307.1","treatment",2,10.6029521906847,3.68537050311921e-05,22,0.00227272727272727,TRUE
"5","CM084276",13,38772835,"CM084276_1_38772835.1","treatment",2,10.5355279815421,3.92323516661485e-05,23,0.00217391304347826,TRUE
"6","CM084270",7,10495977,"CM084270_1_10495977.1","treatment",2,10.4959672210093,4.06994012837699e-05,25,0.002,TRUE
"7","CM084278",15,24948220,"CM084278_1_24948220.1","treatment",2,10.4351917309997,4.30615864306285e-05,27,0.00185185185185185,TRUE
"8","CM084269",6,35627100,"CM084269_1_35627100.1","treatment",2,9.82914021662371,7.56803406973555e-05,31,0.00161290322580645,TRUE
"9","CM084264",1,64874049,"CM084264_1_64874049.1","treatment",2,9.74178008397239,8.21046428031051e-05,32,0.0015625,TRUE
"10","CM084272",9,33497675,"CM084272_1_33497675.1","treatment",2,9.58000145455198,9.548855139262e-05,35,0.00142857142857143,TRUE
"11","CM084279",16,1070264,"CM084279_1_1070264.1","treatment",2,9.24091687069527,0.00013111450117597,40,0.00125,TRUE
"12","CM084266",3,23321830,"CM084266_1_23321830.1","treatment",2,8.79735290782863,0.000198731246662009,47,0.00106382978723404,TRUE
"13","CM084276",13,20157325,"CM084276_1_20157325.1","treatment",2,8.7557718602625,0.000206645549070722,48,0.00104166666666667,TRUE
"14","CM084275",12,36059096,"CM084275_1_36059096.1","treatment",2,8.61572910975085,0.000235712204156817,51,0.000980392156862745,TRUE
"15","CM084275",12,39776636,"CM084275_1_39776636.1","treatment",2,8.53573653116232,0.000254129204681472,52,0.000961538461538462,TRUE
"16","CM084266",3,57882736,"CM084266_1_57882736.1","treatment",2,8.50021471825832,0.00026276594289771,53,0.000943396226415094,TRUE
"17","CM084271",8,44090310,"CM084271_1_44090310.1","treatment",2,8.38809738575765,0.000292014633247183,54,0.000925925925925926,TRUE
"18","CM084265",2,61648596,"CM084265_1_61648596.1","treatment",2,8.3514046087305,0.000302282514050995,57,0.00087719298245614,TRUE
"19","CM084274",11,4869897,"CM084274_1_4869897.1","treatment",2,8.31211579753589,0.000313680509003696,58,0.000862068965517241,TRUE
"20","CM084278",15,20630020,"CM084278_1_20630020.1","treatment",2,8.29030846611292,0.000320192840348127,59,0.000847457627118644,TRUE
"21","CM084275",12,1303251,"CM084275_1_1303251.1","treatment",2,7.98406767534327,0.000427440671394004,69,0.00072463768115942,TRUE
"22","CM084266",3,70706208,"CM084266_1_70706208.1","treatment",2,7.86722774356443,0.000477325622759396,71,0.000704225352112676,TRUE
"23","CM084269",6,1549398,"CM084269_1_1549398.1","treatment",2,7.80500665002025,0.000506243815591426,74,0.000675675675675676,TRUE
